cid,area,area_uom_i,_B1mean,_B2mean,_B3mean,_B4mean
B101-17,0.230200000000000,m2,38490.8166666666,20857.5833333333,46667.1500000000,36711.1333333333
B101-28,0.379900000000000,m2,30613.7623762376,14626.9306930693,38906.5841584158,32372.7623762376
B101-35,0.201000000000000,m2,36540.4509803921,17964.6862745098,45267.9019607843,35947.0784313725
B103-20,0.488000000000000,m2,25565.2045454545,7860.3030303030,48910.8636363636,43053.0454545454
B103-30,0.291400000000000,m2,29913.3875000000,12600.4375000000,45927.5374999999,38752.6999999999
B103-36,0.347800000000000,m2,29987.1052631578,10461.3789473684,48559.9368421052,41113.5999999999
B104-15,1.135000000000000,m2,24468.3794212218,8479.0096463023,42527.0868167201,39509.9003215434
B104-26,1.171100000000000,m2,22584.8881789137,7741.5782747604,40458.3386581469,38405.5079872204
B104-31,1.169600000000000,m2,24391.7363344051,8554.7620578778,42952.5401929260,40008.2475884244
B111-10,0.485600000000000,m2,25451.7829457364,7016.1007751938,49376.3023255813,42229.5736434108
B111-14,0.617900000000000,m2,22691.7852760736,6082.9509202454,50438.5460122699,45628.1226993865
B111-46,0.565400000000000,m2,27807.9078947368,8787.8092105263,48280.9276315789,40275.5657894736
B117-12,0.406900000000000,m2,27816.2053571428,8615.6785714286,49022.5267857142,44537.1071428571
B117-48,0.260900000000000,m2,28630.3188405797,10535.5217391304,45357.2753623188,38936.8695652173
B117-9,0.384700000000000,m2,26357.7326732673,10135.8514851485,39973.8910891089,36236.8415841584
B118-11,0.365300000000000,m2,28062.5816326530,9425.1122448980,48970.3877551020,44654.7244897959
B118-13,1.047500000000000,m2,22356.8072727272,7161.3163636364,40691.3854545454,39888.6654545454
B118-47,0.302100000000000,m2,28875.2682926829,9522.6585365854,47896.3292682926,43825.1219512195
B203-38,0.458400000000000,m2,27338.2704918032,9707.2704918033,45063.7131147541,38704.5245901639
B203-40,0.438300000000000,m2,26557.6120689655,9392.7155172414,43451.8103448275,37278.3448275862
B203-43,0.419200000000000,m2,28290.4220183486,8714.8990825688,48126.9357798165,41707.7889908256
B207-39,0.213900000000000,m2,31077.1666666666,13206.9814814814,41557.5370370370,36584.2777777777
B207-60,0.401000000000000,m2,31576.0999999999,13510.2090909090,42432.7272727272,37871.6909090909
B208-37,0.264300000000000,m2,27365.6164383561,8814.5616438356,47970.7945205479,43490.1369863013
B208-41,0.670400000000000,m2,26760.2598870056,8553.6271186441,43954.1581920903,39377.5875706213
B208-42,0.307200000000000,m2,28098.5063291139,8530.4177215190,47567.7974683544,42030.0886075949
B211-49,0.413400000000000,m2,26312.0280373831,8211.7850467290,43970.6261682242,39652.0934579439
B211-56,0.738600000000000,m2,24593.7142857142,8449.9234693878,39382.7193877551,35457.3418367346
B211-59,0.775300000000000,m2,27375.2952380952,10381.0428571428,42394.2333333333,37458.4809523809
B216-54,0.289200000000000,m2,29760.9733333333,10369.0000000000,46140.0133333333,42140.6266666666
B216-58,0.265500000000000,m2,29886.7428571428,11014.1000000000,43977.1571428571,40394.0999999999
B305-1,0.713400000000000,m2,25501.1957671957,9469.4444444444,40390.1058201058,37909.1481481481
B305-3,0.834300000000000,m2,25721.6313364055,8895.4239631336,41657.7004608294,39414.7327188940
B305-51,0.573300000000000,m2,25518.8543046357,8638.9536423841,40721.0993377483,39362.7152317880
B306-2,0.486800000000000,m2,28773.1782945736,9396.6666666667,49970.5271317829,46058.5658914728
B306-4,0.614800000000000,m2,27138.1183431952,7229.4497041420,48338.5976331360,46301.1479289940
B306-5,0.928700000000000,m2,26649.4183266932,7973.6215139442,44970.2788844621,42956.1434262948
B308-50,0.282600000000000,m2,29373.9166666666,9626.9305555556,48539.1944444444,43380.2083333333
B308-52,0.388600000000000,m2,29923.4392523364,9568.9719626168,48685.9158878504,44143.1401869158
B308-6,0.281000000000000,m2,29157.6388888888,9731.5555555556,47622.0000000000,41710.5972222222
B311-10,0.111800000000000,m2,32935.4333333333,15374.8999999999,40068.8000000000,34142.0333333333
B311-19,0.145400000000000,m2,31749.1794871794,13005.8974358974,47682.1794871794,38256.7692307692
B311-27,0.145600000000000,m2,35253.1219512195,16789.6341463414,41146.0487804878,32842.0487804878
B316-21,0.341800000000000,m2,29014.9770114942,8447.1839080460,50315.0804597701,44820.0919540229
B316-24,0.476300000000000,m2,29581.1707317073,9992.7073170732,47202.3089430894,42044.3252032520
B316-7,0.493100000000000,m2,29025.0236220472,9169.5669291339,49758.1732283464,42959.5984251968
B318-16,0.381100000000000,m2,23486.2718446601,6765.0873786408,46920.9417475728,44482.2621359223
B318-25,0.473800000000000,m2,27024.4959999999,9169.9120000000,47587.4320000000,44376.5999999999
B318-8,0.626800000000000,m2,25144.3375000000,7956.3062500000,48405.3562499999,44456.5625000000
B402-33,0.275000000000000,m2,28123.2432432432,9457.9054054054,46873.7027027026,36409.3513513513
B402-45,0.288500000000000,m2,26826.4487179487,8353.2435897436,48150.8589743589,38739.9102564102
B402-57,0.225700000000000,m2,29130.7936507936,10769.4126984126,47403.4126984126,35283.1746031746
B404-34,0.285600000000000,m2,30457.2763157894,11031.6184210526,48921.0526315789,39479.0921052631
B404-44,0.309800000000000,m2,30776.1604938271,11607.4197530864,49179.0370370370,39184.0617283950
B404-55,0.278000000000000,m2,30949.7837837837,12738.8243243243,48886.8243243243,38057.1216216216
B410-10,0.075200000000000,m2,27255.0000000000,11595.5454545454,43222.6818181818,30902.0909090909
B410-32,0.221800000000000,m2,27790.4531250000,9908.5468750000,46312.8281250000,32191.3906250000
B410-63,0.375800000000000,m2,29577.3030303030,11115.9595959595,49167.5656565656,37787.5050505050
B416-23,0.519800000000000,m2,25885.1063829787,6707.8865248227,50016.4539007092,44081.5602836878
B416-29,0.361600000000000,m2,25307.1237113402,6942.0103092784,47802.4123711340,41463.4020618556
B416-64,0.584200000000000,m2,27762.8387096774,7930.9677419355,51213.4193548387,44108.0451612903
B417-22,0.337400000000000,m2,30020.0107526881,11608.6021505376,46795.3440860215,39723.3333333333
B417-23,0.196500000000000,m2,23766.5961538461,7487.8846153846,38612.5384615384,33163.1153846153
B417-61,0.206800000000000,m2,29214.6271186440,10487.5084745762,46306.9830508474,38237.8644067796
B418-18,0.282700000000000,m2,25503.1621621621,9185.4729729730,42501.6216216216,37778.2702702702
B418-20,0.069500000000000,m2,28062.3333333333,12072.0000000000,42832.8333333333,34596.0000000000
B418-62,0.243100000000000,m2,28394.5000000000,11545.7812500000,45143.4843750000,39399.2187500000
